AssetCode,ParentAssetCode,AssetType,AssetName,ParentAssetName,MarketName,CortosMarketName,CortosSubMarketName,CortosMarketSubmarketID,CortosMarketID,CortosSubMarketID,CortosPropertyNumber,MoodysCountyID,MoodysMetroDivisionID,MoodysMSAID,StateCode,InvestmentStrategy,IsTaxCredit,IsRecapitalization,AcquisitionType,IsInDevelopment,IsSeniorHousing,Portfolio,SubPortfolio,FundName,StabilizationStatus,ActualStabilizationDate,AssetClass,oslPropertyID,oslSubPropertyNumberID,UltiProLocationCode,AverageBuildYear,CurrentUnitCount,PlannedUnitCount,AcquisitionDate,SaleDate,FirstFullMonthID,LastFullMonthID,AssetLegalName,AssetTaxID,AssetAddress,City,ZIPCode,AssetPhone,AssetPhone2,AssetEmail,AssetURL,EmpManagingDirector,EmpEVP,EmpDirectorOfInvestments,EmpDirectorOfOperations,EmpCommunityManager,EmpRegionalFacilitiesManager,EmpRegionalMarketingManager,EmpPropertyAssistantController,EmpRevenueManager,EmpRegionalCFDManager,EmpRegionalPestManager,EmpRegionalLandscapingManager,EmpSeniorRegionalFacilitiesManager,IsCurrentOSLPropertyID,osaEntityID,TotalHardCosts,CortosMSAID,AssetStyle,DistinctCurrentUnitCount,InitialEntityAssetCode,InitialEntityAcquisitionDate,OccupancyStabilizationDate,IsActiveProperty,EquityPartner1,EquityPartner2,IsUnitReno,AcquisitionDevelopmentFee,ConstructionManagementFee,PropertyManagementFee,AssetManagementFeeBasis,AssetManagementFeeAmount,DueDiligenceFee,DesignFeeBasis,DesignFeeAmount,SupportServiceFeePerUnitAnnual,MarketingSoftwareFeePerUnitAnnual,AdminSoftwareFeePerUnitAnnual,LicensingFeePerUnitMonthly,EquityPartnerConcat,SameStoreSale,FunnelGroupId
"coraddass30350",,"Property","The Addison at Sandy Springs","The Addison at Sandy Springs","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Sandy Springs","12060-8","12060",8,11883,"13121",,,"GA","Value-add",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2022-08-06 00:00:00.0000000,"B",4971398,1,4258,1985.000000,236,236,2022-05-19 00:00:00.0000000,,202206,202502,"RRE Sandy Springs Holdings LLC","81-3506451","7889 Roswell Rd","Sandy Springs","30350-4888","(678) 249-3636","","addisonsandysprings@cortland.com","https://cortland.com/addison-at-sandy-springs/","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Kenzie Fisher","Ben Burgoon","Natalie Ross","Mindy Dollinger","Zack Knab","N/A","Corey Pilkenton","John Oubre","Brandon Center",True,"morganfalls",,12060,"Garden-style",236.00000000754551,"coraddass30350",2022-05-19 00:00:00.0000000,2022-08-06 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",1,3750
"attm30092",,"Property","Attiva Peachtree","Attiva Peachtree","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Chamblee/Brookhaven","12060-10","12060",10,,"13089",,,"GA","Opportunistic",False,False,"Development",0,True,"Stand-alone","Attiva Malone",,"Stabilized",2022-04-24 00:00:00.0000000,"N/A",4458877,1,2953,,205,205,2017-08-15 00:00:00.0000000,,201903,202502,"Peachtree Industrial GA Partners, LLC","81-5467109","5255 Peachtree Blvd","Chamblee","30341-2626","(470) 785-8134","","attivapeachtree@cortland.com","cortland.com/apartments/attiva-peachtree","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Morgan Walker","Ben Burgoon","Natalie Ross","Jeff Brzinski","Zack Knab","N/A","Corey Pilkenton","John Oubre","Brandon Center",True,"peachtree",41835000,12060,"Mid-Rise",205.00000000293204,"attm30092",2017-08-15 00:00:00.0000000,2022-04-24 00:00:00.0000000,1,"Warba",,True,,,0.025000000000000001,,,,,,,,,,"Warba",1,1999
"exchnhyld30341",,"Property","Cortland North Brookhaven","Cortland North Brookhaven","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Chamblee/Brookhaven","12060-10","12060",10,10672,"13089",,,"GA","Core-Plus",False,True,"Acquisition",0,False,"Yieldco II","Yieldco II",,"Stabilized",2014-12-22 00:00:00.0000000,"A",2946884,1,2080,2001.000000,411,,2018-11-15 00:00:00.0000000,,201304,202502,,,"2432 Johnson Ferry Rd NE","Chamblee","30341-2637","(404) 531-2188","","northbrookhaven@cortland.com","http://www.cortland.com/north-brookhaven","Tiffany Barnett","Michael Kolshak","David Wade","Weber Jodesty","Morgan Walker","Ben Burgoon","Natalie Ross","Maria Domingo","Zack Knab","N/A","Corey Pilkenton","John Oubre","Brandon Center",True,"exchangenhroundhill",175000,12060,"Garden-Style",411.0000000029226,"exchnh30341",2013-03-28 00:00:00.0000000,2014-12-22 00:00:00.0000000,1,"Roundhill",,False,,,0.0275,,,,,,,,,,"Roundhill",1,786
"virbre30033",,"Property","Cortland Viridian","Cortland Viridian","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Decatur","12060-13","12060",13,13452,"13089",,,"GA","Core-Plus",False,True,"Acquisition",0,False,"Acorn 1","Acorn 1",,"Stabilized",2017-08-13 00:00:00.0000000,"B",3734381,1,2124,1985.000000,476,,2020-02-28 00:00:00.0000000,,201510,202502,,"84-4601448","3421 N Druid Hills Rd","Decatur","30033-3713","(404) 795-4295","","viridian@cortland.com","cortland.com/viridian","Tiffany Barnett","Michael Kolshak","David Wade","Eboni Jackson","Kelly Braun","Andrey Allicock","Natalie Ross","Renita Lott","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"druidhillsbre",,12060,"Garden-Style",476.00000000621901,"vir30033",2015-09-30 00:00:00.0000000,2017-08-13 00:00:00.0000000,1,"Blackstone",,True,,,0.025000000000000001,,0.0074999999999999997,,,,,,,,"Blackstone",1,1071
"3131oef30033",,"Property","Cortland 3131","Cortland 3131","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Decatur","12060-13","12060",13,890,"13089",,,"GA","Core-Plus",False,True,"Acquisition",0,False,"CGI","CGI","Cortland Growth and Income Fund","Stabilized",2014-08-12 00:00:00.0000000,"B",2946883,1,2035,1992.000000,268,,2018-12-14 00:00:00.0000000,,201304,202502,,,"3131 N Druid Hills Rd","Decatur","30033-2654","(404) 476-5875","","3131@cortland.com","www.cortland.com/3131","Tiffany Barnett","Michael Kolshak","David Wade","Eboni Jackson","Kelly Braun","Andrey Allicock","Natalie Ross","Maria Domingo","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"3131oef",2128741.7391304299,12060,"Garden-Style",268.00000000875275,"313130033",2013-03-28 00:00:00.0000000,2014-08-12 00:00:00.0000000,1,"CGI",,True,,,0.0275,,,,,,,,,,"CGI",1,1061
"coronponce30030",,"Property","Cortland on Ponce","Cortland on Ponce","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","Decatur","12060-13","12060",13,48758,"13089",,,"GA","Value-add",False,False,"Acquisition",0,False,"CGI","Project Sierra","Cortland Growth and Income Fund","Non-Stabilized",,"A",4988101,1,4280,2015.000000,234,234,2022-06-28 00:00:00.0000000,,202207,202502,"Ponce De Leon GA Partners LLC","61-1870995","220 Ponce De Leon Pl","Decatur","30030-3233","(404) 973-2916","","ponce@cortland.com","cortland.com/ponce","Tiffany Barnett","Michael Kolshak","David Wade","Eboni Jackson","Leidalis Santana","Andrey Allicock","Natalie Ross","Remesa Brown","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"ponce",7490846,12060,"Mid-rise",234.00000000710844,"coronponce30030",2022-06-28 00:00:00.0000000,2025-01-30 00:00:00.0000000,1,"CGI",,True,,,,,,,,,,,,,"CGI",0,3817
"cortv30106",,"Property","Tramore Village","Tramore Village","Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA","South Cobb County/Douglasville","12060-22","12060",22,9278,"13067",,,"GA","Value-add",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2022-06-18 00:00:00.0000000,"B",4971384,1,4262,1999.000000,324,324,2022-05-19 00:00:00.0000000,,202206,202502,"RRE Tramore Village Holdings LLC","81-3506451","2222 E West Connector","Austell","30106-8190","(678) 890-4035","","tramorevillage@cortland.com","cortland.com/tramore-village","Tiffany Barnett","Michael Kolshak","David Wade","Patrick Hollon","MeAtta Hillery","Ben Burgoon","Natalie Ross","Mindy Dollinger","Zack Knab","Michael Woodburn","Corey Pilkenton","John Oubre","Brandon Center",True,"austell",,12060,"Garden-style",324.00000000375593,"cortv30106",2022-05-19 00:00:00.0000000,2022-06-18 00:00:00.0000000,1,"Blackstone",,True,,,,,,,,,,,,,"Blackstone",1,3754
"corbs78744",,"Property","Cortland Bluff Springs","Cortland Bluff Springs","Austin-Round Rock, TX","Austin-Round Rock, TX","Southeast Austin","12420-4","12420",4,66090,"48453",,,"TX","Core-Plus",False,False,"Acquisition",0,False,"CGI","CGI","Cortland Growth and Income Fund","Stabilized",2022-03-26 00:00:00.0000000,"B",4920289,1,4241,2016.000000,346,,2022-02-24 00:00:00.0000000,,202203,202502,"Bluff Springs TX Partners LLC","83-2495528","7330 Bluff Springs Rd","Austin","78744-0065","(512) 661-0564","","bluffsprings@cortland.com","www.cortland.com/bluff-springs","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Viri Ybarra","Nicholas Williamson","Jacqui Williams","Maria Domingo","Jason Halpert","Jose Rodriguez","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"bluffsprings",6418767.1716799997,12420,"Garden-Style",346.00000000892408,"corbs78744",2022-02-24 00:00:00.0000000,2022-03-26 00:00:00.0000000,1,"CGI",,False,,,0.0275,"gross-revenue",,,,,,,,,"CGI",1,3585
"estspmbre278748",,"Property","Cortland Southpark Terraces","Cortland Southpark Terraces","Austin-Round Rock, TX","Austin-Round Rock, TX","Far South Austin","12420-6","12420",6,19836,"48453",,,"TX","Core-Plus",False,True,"Acquisition",0,False,"Acorn 2","Acorn 2",,"Stabilized",2023-09-06 00:00:00.0000000,"B",5219223,1,2929,2009.000000,426,,2021-07-01 00:00:00.0000000,,201810,202502,,,"10001 S 1st St","Austin","78748-6686","(512) 877-1357","","southparkterraces@cortland.com","cortland.com/southpark-terrace","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Brian McBroom","Nicholas Williamson","Jacqui Williams","Mindy Dollinger","Jason Halpert","Jose Rodriguez","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"estatesbre",91714.046340000001,12420,"Garden-Style",426.00000000789203,"estspm78748",2018-09-25 00:00:00.0000000,2023-09-06 00:00:00.0000000,1,"Blackstone",,False,,,0.029999999999999999,"gross-revenue",0.0050000000000000001,,,,220,,,,"Blackstone",1,1457
"purcoc78748",,"Property","Cortland Onion Creek","Cortland Onion Creek","Austin-Round Rock, TX","Austin-Round Rock, TX","Far South Austin","12420-6","12420",6,44461,"48453",,,"TX","Core-Plus",False,False,"Acquisition",0,False,"Portfolio 22","Portfolio 22 - Retain",,"Stabilized",2019-10-27 00:00:00.0000000,"A",4559218,1,3006,2016.000000,276,,2019-09-27 00:00:00.0000000,,201910,202502,"PURE CREEKSIDE APTS LLC","81-4724068","1900 Onion Creek Pkwy","Austin","78748-2165","(512) 877-1988","","OnionCreek@cortland.com","www.cortland.com/onion-creek","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Brian McBroom","Nicholas Williamson","Jacqui Williams","Lisa Jones","Jason Halpert","Jamison Gavin","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"onioncreek",1823886.15072,12420,"Garden-Style",276.00000000646924,"purcoc78748",2019-09-27 00:00:00.0000000,2019-10-27 00:00:00.0000000,1,"JVP",,False,335634,103741,0.025000000000000001,"gross-revenue",0.0050000000000000001,24996,,70000,130,,,,"JVP",1,1455
"pasbc78738",,"Property","Paseo at Bee Cave","Paseo at Bee Cave","Austin-Round Rock, TX","Austin-Round Rock, TX","Southwest Austin","12420-7","12420",7,18441,"48453",,,"TX","Value-Add",False,False,"Acquisition",0,False,"Stand-alone","Paseo at Bee Cave","CP Fund IV","Stabilized",2018-12-29 00:00:00.0000000,"B",4216874,1,1040,2007.000000,293,,2017-07-28 00:00:00.0000000,,201708,202502,"WSH 71 TX Partners LLC","82-1903208","12531 Highway 71","Bee Cave","78738-6640","(512) 877-9642","","paseobeecave@cortland.com","www.liveatpaseoatbeecave.com","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Mark Roden","Nicholas Williamson","Jacqui Williams","Rosanne Ippolito","Jason Halpert","Jose Rodriguez","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"paseo",4774135,12420,"Garden-Style",293.00000000248093,"pasbc78738",2017-07-28 00:00:00.0000000,2018-12-29 00:00:00.0000000,1,"Carlyle",,True,363750,334189,0.025000000000000001,"gross-revenue",0.014999999999999999,,,,130,101,118,,"Carlyle",1,1460
"corar78759",,"Property","Cortland Arboretum","Cortland Arboretum","Austin-Round Rock, TX","Austin-Round Rock, TX","Arboretum","12420-10","12420",10,44494,"48453",,,"TX","Value-Add",False,False,"Acquisition",0,False,"CGI","CGI","Cortland Growth and Income Fund","Stabilized",2021-10-21 00:00:00.0000000,"B",4855971,1,3070,2015.000000,330,,2021-09-21 00:00:00.0000000,,202110,202502,"Stonelake TX Partners LLC","83-2495528","10011 Stonelake Blvd","Austin","78759-6075","(512) 859-5823","","Arboretum@cortland.com","cortland.com/arboretum","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Robbie Degrate","Nicholas Williamson","Jacqui Williams","Remesa Brown","Jason Halpert","Jose Rodriguez","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"ascent",5781956.8064999999,12420,"Mid-Rise",330.00000000299013,"corar78759",2021-09-21 00:00:00.0000000,2021-10-21 00:00:00.0000000,1,"CGI",,True,,,0.0275,"gross-revenue",,,,,130,,,,"CGI",1,2422
"corr78730",,"Property","Cortland River Place","Cortland River Place","Austin-Round Rock, TX","Austin-Round Rock, TX","Far West Austin","12420-13","12420",13,9154,"48453",,,"TX","Core-plus",False,False,"Acquisition",0,False,"3rd Party Management","Project Rock",,"Stabilized",2022-06-18 00:00:00.0000000,"B",4971411,1,4264,2000.000000,498,498,2022-05-19 00:00:00.0000000,,202206,202502,"RRE Riverlodge Holdings LP","81-3506451","10301 FM RD 2222","AUSTIN","78730","(737) 530-4346","","RiverPlace@cortland.com","www.cortland.com/river-place","Mindi Hill","Kyle Bateh","Heeten Patel","Christin Markiewicz","Denise Morris","Nicholas Williamson","Jacqui Williams","Renita Lott","Jason Halpert","Jose Rodriguez","Corey Pilkenton","Sam Evans","Nicholas Williamson",True,"riverplace",,12420,"Garden-style",498.00000000618292,"corr78730",2022-05-19 00:00:00.0000000,2022-06-18 00:00:00.0000000,1,"Blackstone",,False,,,,,,,,,,,,,"Blackstone",1,3756
